property_type,location,size_sqm,year,month,bedrooms,bathrooms,usd_rate,iron_price,cement_price,usd_lag_3,iron_lag_3,cement_lag_3,seasonality_factor,base_price,economic_factor,price_egp
Apartment,New Cairo,355,2019,2,5,4,18.54,18962.1,1694.74,17.47,17816.11,1647.02,1.0,6390000.0,1.46,8734175.7
Apartment,Cairo,346,2019,2,5,5,18.44,19313.63,1779.51,18.06,19700.49,1737.32,1.0,4152000.0,1.47,5971431.78
Villa,Cairo,164,2019,2,5,5,17.68,19282.93,1634.41,17.69,18696.65,1689.03,1.0,3542400.0,1.45,5608134.65
Villa,Cairo,142,2019,2,4,5,18.38,19095.65,1693.63,18.54,18962.1,1694.74,1.0,3067200.0,1.46,4700319.02
Apartment,Sheikh Zayed,100,2019,2,2,1,18.4,19627.81,1664.51,18.44,19313.63,1779.51,1.0,1700000.0,1.46,2274603.21
Villa,6th October,232,2019,2,5,6,18.43,19202.85,1771.21,17.68,19282.93,1634.41,1.0,5846400.0,1.46,8441796.71
Apartment,6th October,199,2019,2,2,2,18.77,19431.55,1736.33,18.38,19095.65,1693.63,1.0,2786000.0,1.47,4491619.0
Apartment,New Cairo,80,2019,2,2,1,19.13,19166.91,1721.13,18.4,19627.81,1664.51,1.0,1440000.0,1.47,2095679.49
Apartment,New Cairo,135,2019,2,3,2,18.05,19552.87,1724.76,18.43,19202.85,1771.21,1.0,2430000.0,1.46,3645245.2
Apartment,Cairo,334,2019,2,5,4,18.21,19438.6,1789.28,18.77,19431.55,1736.33,1.0,4008000.0,1.47,6111564.67
Apartment,North Coast,89,2019,2,2,1,18.28,19413.19,1600.94,19.13,19166.91,1721.13,1.0,1780000.0,1.46,2678402.7
Villa,New Cairo,353,2019,2,7,8,17.72,19391.91,1716.65,18.05,19552.87,1724.76,1.0,11437200.0,1.46,16725477.2
Apartment,6th October,176,2019,2,2,1,17.87,18409.4,1780.09,18.21,19438.6,1789.28,1.0,2464000.0,1.45,3314473.27
Villa,6th October,175,2019,2,5,6,18.66,19364.4,1810.63,18.28,19413.19,1600.94,1.0,4410000.0,1.47,6756370.89
Apartment,Cairo,309,2019,2,5,5,19.34,20225.6,1754.63,17.72,19391.91,1716.65,1.0,3708000.0,1.48,5977196.62
Apartment,6th October,280,2019,2,4,3,17.86,18914.54,1698.03,17.87,18409.4,1780.09,1.0,3920000.0,1.45,6197590.82
Villa,North Coast,347,2019,2,7,7,19.53,19841.13,1787.13,18.66,19364.4,1810.63,1.0,12492000.0,1.48,18873104.92
Apartment,New Cairo,355,2019,2,5,5,18.11,19113.96,1692.54,19.34,20225.6,1754.63,1.0,6390000.0,1.46,9294776.11
Apartment,New Cairo,323,2019,2,5,4,19.0,19737.43,1796.29,17.86,18914.54,1698.03,1.0,5814000.0,1.48,8303285.78
Apartment,Cairo,161,2019,2,4,3,18.61,18345.58,1650.43,19.53,19841.13,1787.13,1.0,1932000.0,1.45,2583065.96
Apartment,New Cairo,190,2019,2,3,2,18.5,19310.22,1753.85,18.11,19113.96,1692.54,1.0,3420000.0,1.47,5397183.89
Apartment,Sheikh Zayed,308,2019,2,5,4,18.19,19295.73,1705.93,19.0,19737.43,1796.29,1.0,5236000.0,1.46,7090611.11
Villa,Cairo,397,2019,2,7,7,18.42,19406.32,1771.54,18.61,18345.58,1650.43,1.0,8575200.0,1.47,12044978.08
Villa,Sheikh Zayed,331,2019,2,7,7,18.06,19830.38,1758.52,18.5,19310.22,1753.85,1.0,10128600.0,1.47,15571307.7
Villa,Cairo,138,2019,2,3,3,18.89,19154.0,1750.14,18.19,19295.73,1705.93,1.0,2980800.0,1.47,4554940.09
Villa,North Coast,166,2019,2,4,4,18.98,20315.37,1718.02,18.42,19406.32,1771.54,1.0,5976000.0,1.48,9157762.26
Studio,New Cairo,271,2019,2,1,1,18.1,18869.99,1757.05,18.06,19830.38,1758.52,1.0,4390200.0,1.46,6708406.62
Apartment,Cairo,234,2019,2,4,4,17.61,18131.34,1616.89,18.89,19154.0,1750.14,1.0,2808000.0,1.44,4072584.46
Studio,Sheikh Zayed,314,2019,2,1,1,18.27,19888.8,1660.96,18.98,20315.37,1718.02,1.0,4804200.0,1.46,6550917.38
Villa,Cairo,337,2019,2,7,7,19.43,20243.46,1767.89,18.1,18869.99,1757.05,1.0,7279200.0,1.49,11888394.12
Apartment,Sheikh Zayed,361,2019,2,5,4,18.56,19348.04,1702.01,17.61,18131.34,1616.89,1.0,6137000.0,1.46,9690404.53
Apartment,6th October,127,2019,3,2,1,19.02,19219.62,1740.48,18.27,19888.8,1660.96,1.0,1778000.0,1.47,2576737.09
Villa,North Coast,116,2019,3,4,5,17.99,18889.7,1684.21,19.43,20243.46,1767.89,1.0,4176000.0,1.45,6104481.86
Villa,Sheikh Zayed,127,2019,3,3,3,18.21,19234.16,1709.32,18.56,19348.04,1702.01,1.0,3886200.0,1.46,5552815.62
Villa,North Coast,221,2019,3,6,7,18.3,19846.15,1789.6,19.02,19219.62,1740.48,1.0,7956000.0,1.47,12026137.69
Apartment,New Cairo,287,2019,3,4,4,17.88,18281.13,1636.18,17.99,18889.7,1684.21,1.0,5166000.0,1.44,7801333.03
Apartment,6th October,235,2019,3,4,4,18.55,19170.56,1704.25,18.21,19234.16,1709.32,1.0,3290000.0,1.46,4553090.78
Apartment,Cairo,278,2019,3,4,4,18.06,18899.72,1744.37,18.3,19846.15,1789.6,1.0,3336000.0,1.46,4794708.2
Villa,Sheikh Zayed,316,2019,3,7,8,18.95,19232.94,1749.35,17.88,18281.13,1636.18,1.0,9669600.0,1.47,14606038.23
Villa,New Cairo,108,2019,3,3,3,18.52,18938.41,1677.7,18.55,19170.56,1704.25,1.0,3499200.0,1.46,5601771.01
Villa,6th October,272,2019,3,7,7,19.22,20415.84,1756.87,18.06,18899.72,1744.37,1.0,6854400.0,1.48,9817285.53
Villa,6th October,373,2019,3,7,8,17.65,18423.68,1607.1,18.95,19232.94,1749.35,1.0,9399600.0,1.44,14209358.42
Apartment,6th October,362,2019,3,5,5,18.23,19180.6,1762.94,18.52,18938.41,1677.7,1.0,5068000.0,1.46,7183269.96
Apartment,New Cairo,289,2019,3,5,4,18.29,18556.19,1720.53,19.22,20415.84,1756.87,1.0,5202000.0,1.45,6949466.68
Studio,North Coast,397,2019,3,1,1,18.73,19799.82,1846.6,17.65,18423.68,1607.1,1.0,7146000.0,1.48,11129751.98
Villa,New Cairo,152,2019,3,4,5,18.29,18900.01,1658.64,18.23,19180.6,1762.94,1.0,4924800.0,1.45,7378858.75
Apartment,North Coast,68,2019,3,2,2,19.37,18582.8,1735.22,18.29,18556.19,1720.53,1.0,1360000.0,1.47,1999861.01
Villa,6th October,122,2019,3,3,3,18.42,19696.67,1729.55,18.73,19799.82,1846.6,1.0,3074400.0,1.47,4670081.22
Villa,New Cairo,211,2019,3,5,6,18.06,18754.36,1769.02,18.29,18900.01,1658.64,1.0,6836400.0,1.46,10713509.52
Apartment,Sheikh Zayed,379,2019,3,5,4,18.44,19874.96,1697.72,19.37,18582.8,1735.22,1.0,6443000.0,1.47,9943763.64
Villa,Sheikh Zayed,138,2019,3,4,5,18.36,19725.13,1682.88,18.42,19696.67,1729.55,1.0,4222800.0,1.47,6629154.39
Villa,New Cairo,227,2019,3,5,5,18.99,19440.43,1753.4,18.06,18754.36,1769.02,1.0,7354800.0,1.47,10371571.73
Apartment,Sheikh Zayed,193,2019,3,4,4,18.33,19361.11,1682.72,18.44,19874.96,1697.72,1.0,3281000.0,1.46,5081644.3
Apartment,Sheikh Zayed,164,2019,3,4,4,17.78,18935.21,1712.59,18.36,19725.13,1682.88,1.0,2788000.0,1.45,3936838.84
Apartment,North Coast,379,2019,3,5,5,18.63,18613.88,1735.26,18.99,19440.43,1753.4,1.0,7580000.0,1.46,10000274.03
Studio,Sheikh Zayed,236,2019,3,1,1,18.22,19820.98,1745.86,18.33,19361.11,1682.72,1.0,3610800.0,1.47,4815347.39
Apartment,Cairo,286,2019,3,4,3,17.97,18857.37,1743.24,17.78,18935.21,1712.59,1.0,3432000.0,1.46,5225204.69
Apartment,Cairo,358,2019,3,5,5,18.56,19293.45,1746.48,18.63,18613.88,1735.26,1.0,4296000.0,1.47,6010190.96
Villa,Cairo,303,2019,3,7,7,18.49,19263.92,1782.19,18.22,19820.98,1745.86,1.0,6544800.0,1.47,9229521.7
Apartment,Cairo,201,2019,3,5,5,18.45,19111.89,1705.61,17.97,18857.37,1743.24,1.0,2412000.0,1.46,3610071.17
Apartment,Cairo,317,2019,3,5,4,18.69,19666.92,1662.51,18.56,19293.45,1746.48,1.0,3804000.0,1.47,5848966.3
Apartment,Sheikh Zayed,140,2019,3,3,2,18.28,19090.64,1660.05,18.49,19263.92,1782.19,1.0,2380000.0,1.46,3507761.85
Apartment,Cairo,73,2019,3,1,1,18.63,19058.49,1727.23,18.45,19111.89,1705.61,1.0,876000.0,1.46,1334709.48
Studio,New Cairo,107,2019,3,1,1,18.28,18933.37,1734.95,18.69,19666.92,1662.51,1.0,1733400.0,1.46,2751916.71
Apartment,Cairo,252,2019,3,5,4,18.99,20326.9,1778.74,18.28,19090.64,1660.05,1.0,3024000.0,1.48,4799386.19
Apartment,Sheikh Zayed,330,2019,3,5,4,18.57,19315.69,1696.22,18.63,19058.49,1727.23,1.0,5610000.0,1.46,7785628.2
Villa,Sheikh Zayed,70,2019,3,3,3,19.46,20543.88,1816.42,18.28,18933.37,1734.95,1.0,2142000.0,1.49,3453299.63
Apartment,New Cairo,139,2019,3,1,1,18.34,18694.15,1601.23,18.99,20326.9,1778.74,1.0,2502000.0,1.45,3481876.16
Apartment,Cairo,62,2019,3,1,1,18.77,19064.49,1711.37,18.57,19315.69,1696.22,1.0,744000.0,1.46,1124167.88
Apartment,6th October,174,2019,3,2,1,19.16,19340.82,1782.95,19.46,20543.88,1816.42,1.0,2436000.0,1.47,3860295.01
Apartment,New Cairo,194,2019,3,3,3,18.87,19394.99,1789.24,18.34,18694.15,1601.23,1.0,3492000.0,1.47,5267607.8
Apartment,New Cairo,165,2019,3,2,2,18.68,18981.85,1771.77,18.77,19064.49,1711.37,1.0,2970000.0,1.47,4618100.9
Apartment,Cairo,229,2019,3,3,3,18.78,19325.87,1785.52,19.16,19340.82,1782.95,1.0,2748000.0,1.47,4385818.36
Villa,Sheikh Zayed,212,2019,3,5,6,18.87,19535.5,1752.16,18.87,19394.99,1789.24,1.0,6487200.0,1.47,10438523.99
Studio,Cairo,112,2019,3,1,1,18.77,19887.03,1732.38,18.68,18981.85,1771.77,1.0,1209600.0,1.47,1750107.22
Apartment,Sheikh Zayed,161,2019,3,4,3,18.62,18636.85,1636.93,18.78,19325.87,1785.52,1.0,2737000.0,1.45,4372948.94
Apartment,North Coast,298,2019,3,5,5,19.0,19962.75,1737.73,18.87,19535.5,1752.16,1.0,5960000.0,1.48,8397985.15
Villa,Cairo,140,2019,3,3,3,18.59,19664.18,1672.12,18.77,19887.03,1732.38,1.0,3024000.0,1.47,4400088.77
Apartment,6th October,176,2019,3,3,3,18.14,18584.71,1738.0,18.62,18636.85,1636.93,1.0,2464000.0,1.45,3769934.43
Apartment,6th October,310,2019,3,5,5,19.67,19440.38,1715.07,19.0,19962.75,1737.73,1.0,4340000.0,1.48,7012219.22
Apartment,6th October,128,2019,3,3,3,19.08,19720.62,1746.38,18.59,19664.18,1672.12,1.0,1792000.0,1.48,2407441.94
Apartment,New Cairo,79,2019,3,2,1,18.19,18781.11,1650.1,18.14,18584.71,1738.0,1.0,1422000.0,1.45,2249140.81
Villa,6th October,344,2019,3,7,7,18.53,19950.4,1725.9,19.67,19440.38,1715.07,1.0,8668800.0,1.47,14024531.18
Apartment,North Coast,393,2019,3,5,4,18.37,19182.27,1711.98,19.08,19720.62,1746.38,1.0,7860000.0,1.46,12425269.4
Apartment,New Cairo,99,2019,3,1,1,18.41,18600.63,1632.87,18.19,18781.11,1650.1,1.0,1782000.0,1.45,2384410.05
Apartment,New Cairo,155,2019,3,4,4,19.1,18990.25,1772.09,18.53,19950.4,1725.9,1.0,2790000.0,1.47,4379220.9
Apartment,New Cairo,210,2019,3,4,3,18.5,18506.09,1710.88,18.37,19182.27,1711.98,1.0,3780000.0,1.46,5656070.36
Villa,New Cairo,151,2019,3,5,6,19.63,19762.6,1782.9,18.41,18600.63,1632.87,1.0,4892400.0,1.48,6544025.07
Studio,New Cairo,291,2019,3,1,1,17.79,18867.66,1668.87,19.1,18990.25,1772.09,1.0,4714200.0,1.45,7498031.95
Apartment,6th October,100,2019,3,3,3,18.67,19588.96,1697.42,18.5,18506.09,1710.88,1.0,1400000.0,1.47,1910785.6
Apartment,North Coast,98,2019,3,2,2,18.02,19640.56,1738.75,19.63,19762.6,1782.9,1.0,1960000.0,1.46,2809316.6
Apartment,6th October,321,2019,3,5,4,18.85,19431.93,1794.15,17.79,18867.66,1668.87,1.0,4494000.0,1.47,5995917.79
Apartment,Cairo,376,2019,3,5,5,18.92,20091.48,1794.24,18.67,19588.96,1697.42,1.0,4512000.0,1.48,6422424.44
Apartment,6th October,80,2019,3,1,1,19.15,19208.23,1688.9,18.02,19640.56,1738.75,1.0,1120000.0,1.47,1666607.94
Apartment,Sheikh Zayed,121,2019,3,1,1,18.09,18307.2,1773.75,18.85,19431.93,1794.15,1.0,2057000.0,1.45,3245531.1
Apartment,North Coast,182,2019,3,2,2,18.92,19856.45,1774.13,18.92,20091.48,1794.24,1.0,3640000.0,1.48,5901420.85
Villa,6th October,120,2019,3,3,4,18.27,19497.97,1776.03,19.15,19208.23,1688.9,1.0,3024000.0,1.47,4366702.0
Apartment,New Cairo,302,2019,3,5,5,18.76,19506.54,1799.63,18.09,18307.2,1773.75,1.0,5436000.0,1.47,7890320.91
Apartment,North Coast,217,2019,3,4,3,18.5,19588.15,1742.21,18.92,19856.45,1774.13,1.0,4340000.0,1.47,5938087.41
Apartment,6th October,192,2019,3,3,2,18.09,17889.58,1664.66,18.27,19497.97,1776.03,1.0,2688000.0,1.44,3877527.62
Apartment,Sheikh Zayed,379,2019,3,5,4,19.09,19307.85,1716.34,18.76,19506.54,1799.63,1.0,6443000.0,1.47,10303055.83
Apartment,New Cairo,109,2019,3,2,2,18.6,19858.78,1695.91,18.5,19588.15,1742.21,1.0,1962000.0,1.47,2689978.81
Villa,6th October,363,2019,4,7,8,19.16,19451.37,1748.99,18.09,17889.58,1664.66,1.0,9147600.0,1.47,12850068.13
Apartment,6th October,320,2019,4,5,4,19.2,19925.47,1710.59,19.09,19307.85,1716.34,1.0,4480000.0,1.48,7133809.62
Apartment,North Coast,218,2019,4,5,5,19.4,20999.17,1684.02,18.6,19858.78,1695.91,1.0,4360000.0,1.49,6652396.44
Villa,New Cairo,394,2019,4,7,7,18.49,19756.44,1640.34,19.16,19451.37,1748.99,1.0,12765600.0,1.46,18061322.36
Apartment,North Coast,170,2019,4,2,2,18.28,18961.7,1712.49,19.2,19925.47,1710.59,1.0,3400000.0,1.46,5267545.17
Apartment,North Coast,129,2019,4,1,1,19.35,18793.01,1754.15,19.4,20999.17,1684.02,1.0,2580000.0,1.47,3493996.11
Apartment,Cairo,196,2019,4,3,3,18.81,19761.64,1765.86,18.49,19756.44,1640.34,1.0,2352000.0,1.47,3715276.65
Apartment,North Coast,368,2019,4,5,4,19.43,18705.52,1762.7,18.28,18961.7,1712.49,1.0,7360000.0,1.47,10854714.14
Apartment,6th October,271,2019,4,5,5,18.17,18691.39,1766.25,19.35,18793.01,1754.15,1.0,3794000.0,1.46,5811727.88
Apartment,New Cairo,327,2019,4,5,4,19.11,19186.03,1726.15,18.81,19761.64,1765.86,1.0,5886000.0,1.47,8680059.51
Apartment,Sheikh Zayed,211,2019,4,3,2,18.79,19336.42,1756.2,19.43,18705.52,1762.7,1.0,3587000.0,1.47,5002283.1
Studio,Sheikh Zayed,97,2019,4,1,1,18.76,19515.13,1765.37,18.17,18691.39,1766.25,1.0,1484100.0,1.47,2244566.76
Apartment,6th October,240,2019,4,5,5,18.62,18878.2,1733.63,19.11,19186.03,1726.15,1.0,3360000.0,1.46,4572087.23
Apartment,Sheikh Zayed,187,2019,4,3,3,18.23,19640.69,1762.12,18.79,19336.42,1756.2,1.0,3179000.0,1.47,4411037.04
Apartment,North Coast,341,2019,4,5,4,19.12,20269.07,1782.3,18.76,19515.13,1765.37,1.0,6820000.0,1.48,10213870.16
Apartment,6th October,366,2019,4,5,5,18.6,19176.88,1770.07,18.62,18878.2,1733.63,1.0,5124000.0,1.47,7347661.52
Apartment,Cairo,126,2019,4,3,3,18.9,19986.79,1713.03,18.23,19640.69,1762.12,1.0,1512000.0,1.47,2338835.65
Studio,6th October,334,2019,4,1,1,19.77,19538.02,1777.34,19.12,20269.07,1782.3,1.0,4208400.0,1.48,6340706.85
Villa,Sheikh Zayed,323,2019,4,7,7,18.54,18749.72,1617.45,18.6,19176.88,1770.07,1.0,9883800.0,1.45,14027326.51
Studio,North Coast,166,2019,4,1,1,18.66,19869.88,1729.82,18.9,19986.79,1713.03,1.0,2988000.0,1.47,4245284.51
Apartment,Sheikh Zayed,303,2019,4,5,4,18.73,19498.35,1668.01,19.77,19538.02,1777.34,1.0,5151000.0,1.47,8173743.2
Villa,Cairo,185,2019,4,5,6,18.62,19505.66,1848.29,18.54,18749.72,1617.45,1.0,3996000.0,1.47,5347076.86
Apartment,North Coast,105,2019,4,1,1,18.64,20239.49,1746.98,18.66,19869.88,1729.82,1.0,2100000.0,1.48,3218302.03
Villa,New Cairo,69,2019,4,3,3,19.17,19919.63,1738.72,18.73,19498.35,1668.01,1.0,2235600.0,1.48,3232474.48
Apartment,North Coast,162,2019,4,2,1,19.49,20945.98,1812.11,18.62,19505.66,1848.29,1.0,3240000.0,1.49,4724869.9
Villa,Sheikh Zayed,357,2019,4,7,8,18.9,19495.03,1675.31,18.64,20239.49,1746.98,1.0,10924200.0,1.47,16520304.47
Apartment,North Coast,324,2019,4,5,4,19.21,20358.75,1735.6,19.17,19919.63,1738.72,1.0,6480000.0,1.48,10279447.41
Apartment,New Cairo,67,2019,4,1,1,18.75,19351.26,1720.25,19.49,20945.98,1812.11,1.0,1206000.0,1.47,1848684.92
Apartment,Sheikh Zayed,203,2019,4,3,2,18.75,18795.64,1769.49,18.9,19495.03,1675.31,1.0,3451000.0,1.46,5223727.87
Studio,Sheikh Zayed,320,2019,4,1,1,18.65,19740.08,1683.49,19.21,20358.75,1735.6,1.0,4896000.0,1.47,7182143.45
Apartment,New Cairo,75,2019,4,1,1,18.47,19216.41,1688.62,18.75,19351.26,1720.25,1.0,1350000.0,1.46,1960583.19
Apartment,Cairo,225,2019,4,5,4,19.47,20774.17,1779.29,18.75,18795.64,1769.49,1.0,2700000.0,1.49,3995270.54
Villa,6th October,360,2019,4,7,8,18.61,19586.44,1762.02,18.65,19740.08,1683.49,1.0,9072000.0,1.47,12390660.99
Villa,Cairo,390,2019,4,7,7,19.17,20060.65,1769.05,18.47,19216.41,1688.62,1.0,8424000.0,1.48,12622318.6
Apartment,Sheikh Zayed,191,2019,4,3,3,18.45,18440.52,1677.16,19.47,20774.17,1779.29,1.0,3247000.0,1.45,4543009.68
Apartment,Sheikh Zayed,204,2019,4,3,2,18.89,19809.99,1750.07,18.61,19586.44,1762.02,1.0,3468000.0,1.47,5234667.12
Apartment,Cairo,205,2019,4,3,3,18.88,19402.49,1709.53,19.17,20060.65,1769.05,1.0,2460000.0,1.47,3636716.38
Villa,New Cairo,374,2019,4,7,7,18.47,18844.69,1676.13,18.45,18440.52,1677.16,1.0,12117600.0,1.46,19207530.75
Apartment,Sheikh Zayed,242,2019,4,3,3,18.71,20057.58,1755.94,18.89,19809.99,1750.07,1.0,4114000.0,1.48,5991124.16
Villa,6th October,146,2019,4,4,4,18.35,18530.49,1745.0,18.88,19402.49,1709.53,1.0,3679200.0,1.46,5533397.99
Apartment,North Coast,194,2019,4,4,4,18.9,19627.72,1744.34,18.47,18844.69,1676.13,1.0,3880000.0,1.47,5819333.58
Apartment,Sheikh Zayed,395,2019,4,5,5,18.02,18700.75,1726.34,18.71,20057.58,1755.94,1.0,6715000.0,1.45,10120072.44
Apartment,North Coast,130,2019,4,2,1,18.87,19572.31,1782.05,18.35,18530.49,1745.0,1.0,2600000.0,1.47,3652642.91
Villa,Sheikh Zayed,66,2019,4,3,4,19.23,19474.89,1639.09,18.9,19627.72,1744.34,1.0,2019600.0,1.47,2822750.4
Apartment,Sheikh Zayed,228,2019,4,3,2,18.9,19360.47,1765.61,18.02,18700.75,1726.34,1.0,3876000.0,1.47,5769256.13
Villa,Sheikh Zayed,288,2019,4,7,7,18.56,19309.8,1805.53,18.87,19572.31,1782.05,1.0,8812800.0,1.47,13849731.11
Apartment,6th October,232,2019,4,5,4,18.59,18816.07,1715.36,19.23,19474.89,1639.09,1.0,3248000.0,1.46,4950204.08
Apartment,Sheikh Zayed,241,2019,4,5,4,19.52,20275.63,1853.06,18.9,19360.47,1765.61,1.0,4097000.0,1.49,6093677.87
Apartment,New Cairo,128,2019,4,3,3,19.0,19834.45,1765.92,18.56,19309.8,1805.53,1.0,2304000.0,1.48,3235605.49
Apartment,New Cairo,232,2019,5,5,5,19.35,19181.24,1771.5,18.59,18816.07,1715.36,1.0,4176000.0,1.47,6474219.73
Apartment,Cairo,79,2019,5,2,2,19.4,20407.41,1783.48,19.52,20275.63,1853.06,1.0,948000.0,1.49,1530139.62
Apartment,Cairo,152,2019,5,3,2,18.71,19737.07,1659.59,19.0,19834.45,1765.92,1.0,1824000.0,1.47,2523055.27
Apartment,New Cairo,171,2019,5,2,2,18.44,19270.57,1805.54,19.35,19181.24,1771.5,1.0,3078000.0,1.47,4786754.87
Apartment,North Coast,235,2019,5,3,2,19.27,18922.9,1738.5,19.4,20407.41,1783.48,1.2,4700000.0,1.47,7741466.24
Studio,Sheikh Zayed,160,2019,5,1,1,18.52,18937.03,1666.06,18.71,19737.07,1659.59,1.0,2448000.0,1.46,3854926.81
Apartment,North Coast,107,2019,5,1,1,18.66,18384.76,1706.16,18.44,19270.57,1805.54,1.2,2140000.0,1.46,3844502.35
Apartment,Sheikh Zayed,171,2019,5,4,3,19.01,19593.86,1751.54,19.27,18922.9,1738.5,1.0,2907000.0,1.47,4010443.92
Apartment,Sheikh Zayed,338,2019,5,5,4,18.83,19840.59,1798.19,18.52,18937.03,1666.06,1.0,5746000.0,1.48,7697929.1
Apartment,New Cairo,234,2019,5,3,2,17.81,18541.8,1686.58,18.66,18384.76,1706.16,1.0,4212000.0,1.45,6335566.41
Apartment,Cairo,237,2019,5,5,5,18.35,19178.29,1701.47,19.01,19593.86,1751.54,1.0,2844000.0,1.46,4241408.22
Apartment,North Coast,381,2019,5,5,5,19.48,20234.47,1758.55,18.83,19840.59,1798.19,1.2,7620000.0,1.49,13881487.58
Apartment,Sheikh Zayed,138,2019,5,3,2,18.94,19155.88,1678.97,17.81,18541.8,1686.58,1.0,2346000.0,1.46,3424371.83
Apartment,Sheikh Zayed,166,2019,5,4,3,19.35,19951.97,1740.97,18.35,19178.29,1701.47,1.0,2822000.0,1.48,4272247.74
Villa,North Coast,100,2019,5,4,5,18.58,20341.37,1699.4,19.48,20234.47,1758.55,1.2,3600000.0,1.47,6843761.25
Villa,Cairo,98,2019,5,3,4,18.43,19584.14,1734.11,18.94,19155.88,1678.97,1.0,2116800.0,1.47,3385764.51
Apartment,Cairo,72,2019,5,1,1,19.35,19160.95,1681.51,19.35,19951.97,1740.97,1.0,864000.0,1.47,1229925.52
Villa,North Coast,137,2019,5,3,3,19.64,19809.55,1760.14,18.58,20341.37,1699.4,1.2,4932000.0,1.48,8753010.24
Villa,Sheikh Zayed,342,2019,5,7,7,18.56,19643.81,1793.57,18.43,19584.14,1734.11,1.0,10465200.0,1.47,14703014.54
Apartment,Sheikh Zayed,133,2019,5,2,2,19.51,20006.36,1796.64,19.35,19160.95,1681.51,1.0,2261000.0,1.49,3298267.44
Apartment,New Cairo,255,2019,5,5,4,18.52,18723.55,1772.99,19.64,19809.55,1760.14,1.0,4590000.0,1.46,7103238.34
Villa,New Cairo,286,2019,5,6,7,18.19,19315.99,1690.02,18.56,19643.81,1793.57,1.0,9266400.0,1.46,13322294.55
Apartment,North Coast,132,2019,5,3,2,19.31,19548.31,1848.75,19.51,20006.36,1796.64,1.2,2640000.0,1.48,4590158.25
Villa,New Cairo,96,2019,5,3,3,18.54,19043.63,1766.97,18.52,18723.55,1772.99,1.0,3110400.0,1.46,4873180.59
Apartment,Sheikh Zayed,123,2019,5,2,1,18.42,19486.04,1724.37,18.19,19315.99,1690.02,1.0,2091000.0,1.47,2758267.06
Apartment,Sheikh Zayed,71,2019,5,1,1,18.43,20098.73,1754.0,19.31,19548.31,1848.75,1.0,1207000.0,1.47,1903174.51
Apartment,North Coast,320,2019,5,5,5,18.86,19056.11,1681.12,18.54,19043.63,1766.97,1.2,6400000.0,1.46,10521333.26
Apartment,Cairo,228,2019,5,4,4,18.19,19319.18,1646.45,18.42,19486.04,1724.37,1.0,2736000.0,1.46,3807547.17
Apartment,Cairo,385,2019,5,5,4,19.34,19628.27,1807.21,18.43,20098.73,1754.0,1.0,4620000.0,1.48,6648410.37
Apartment,6th October,88,2019,5,1,1,19.28,19947.35,1820.93,18.86,19056.11,1681.12,1.0,1232000.0,1.48,1966637.91
Apartment,Sheikh Zayed,231,2019,5,5,4,19.29,19697.71,1718.43,18.19,19319.18,1646.45,1.0,3927000.0,1.48,6269088.81
Villa,Cairo,111,2019,5,3,4,19.66,19539.2,1825.52,19.34,19628.27,1807.21,1.0,2397600.0,1.48,3670819.93
Apartment,6th October,141,2019,5,2,2,19.54,19462.56,1803.81,19.28,19947.35,1820.93,1.0,1974000.0,1.48,2886584.87
Villa,Cairo,144,2019,5,3,4,18.61,19533.78,1690.56,19.29,19697.71,1718.43,1.0,3110400.0,1.47,4574329.0
Villa,Cairo,190,2019,5,4,5,19.4,19765.66,1720.38,19.66,19539.2,1825.52,1.0,4104000.0,1.48,6161941.48
Apartment,New Cairo,157,2019,5,4,4,19.62,20122.35,1745.11,19.54,19462.56,1803.81,1.0,2826000.0,1.48,4576776.82
Apartment,New Cairo,335,2019,5,5,5,19.48,18941.49,1749.52,18.61,19533.78,1690.56,1.0,6030000.0,1.47,9706940.7
Apartment,Sheikh Zayed,359,2019,5,5,4,19.52,20306.7,1756.19,19.4,19765.66,1720.38,1.0,6103000.0,1.49,9699589.51
Villa,North Coast,295,2019,5,6,6,19.0,20210.14,1670.63,19.62,20122.35,1745.11,1.2,10620000.0,1.48,19120984.89
Villa,6th October,63,2019,5,3,3,18.76,19455.92,1713.62,19.48,18941.49,1749.52,1.0,1587600.0,1.47,2279416.91
Apartment,North Coast,69,2019,5,1,1,18.97,19815.63,1764.43,19.52,20306.7,1756.19,1.2,1380000.0,1.48,2312536.28
Villa,New Cairo,165,2019,5,5,6,18.74,19859.47,1770.24,19.0,20210.14,1670.63,1.0,5346000.0,1.47,7937181.12
Apartment,Cairo,313,2019,5,5,4,19.6,19708.51,1750.35,18.76,19455.92,1713.62,1.0,3756000.0,1.48,5389365.58
Villa,North Coast,311,2019,5,7,8,19.19,19712.67,1834.38,18.97,19815.63,1764.43,1.2,11196000.0,1.48,18194550.04
Apartment,Sheikh Zayed,387,2019,5,5,5,19.52,20000.61,1776.8,18.74,19859.47,1770.24,1.0,6579000.0,1.48,9716835.7
Villa,North Coast,301,2019,5,7,8,18.38,18930.15,1845.96,19.6,19708.51,1750.35,1.2,10836000.0,1.47,19326263.91
Apartment,Sheikh Zayed,291,2019,5,5,4,18.89,19513.06,1707.1,19.19,19712.67,1834.38,1.0,4947000.0,1.47,7430819.62
Apartment,6th October,139,2019,5,3,2,18.6,18291.95,1748.26,19.52,20000.61,1776.8,1.0,1946000.0,1.46,2592518.57
