listing_date,area,area_tier,region,property_type,size_sqm,bedrooms,bathrooms,floor,compound,standalone,sea_view,balcony,parking_spot,elevator,finishing_level,furnishing_level,property_age_years,distance_to_cbd_km,price_per_sqm_egp,price_egp,price_usd_est,estimated_rent_egp_month
2024-03-31,Heliopolis,Premium,Urban,Apartment,425,2,2,10,1,0,0,1,1,1,Fully Finished,Unfurnished,9,10.9,27032,11488486,229770,74675
2024-12-16,6th of October,Standard,Urban,Penthouse,264,3,3,15,1,0,0,1,0,1,Fully Finished,Fully Furnished,7,35.2,25780,6805793,136116,37432
2024-02-05,New Cairo,Premium,Urban,Villa,407,5,6,3,1,1,0,1,1,0,Luxury Finished,Unfurnished,0,28.6,62821,26079368,521587,143437
2025-01-30,North Coast,Premium,Coastal,Villa,309,5,6,1,1,1,0,1,1,0,Semi Finished,Partly Furnished,8,220.4,112683,35515458,710309,195335
2025-12-16,6th of October,Standard,Urban,Chalet,365,3,3,3,1,0,0,1,0,0,Fully Finished,Partly Furnished,12,32.0,27264,9951367,199027,54733
2024-06-15,New Cairo,Premium,Urban,Duplex,448,4,4,5,1,0,0,1,1,1,Semi Finished,Unfurnished,15,22.7,18068,8094398,161888,52614
2024-06-27,Alexandria,Standard,Urban,Apartment,171,1,1,4,0,0,0,0,1,1,Fully Finished,Unfurnished,31,219.2,7962,1361506,27230,8850
2025-08-14,Heliopolis,Premium,Urban,Penthouse,457,4,3,10,0,0,0,0,1,1,Fully Finished,Partly Furnished,9,13.4,20348,9299238,185985,51146
2024-02-02,6th of October,Standard,Urban,Duplex,285,4,4,3,1,0,0,1,1,1,Semi Finished,Unfurnished,5,34.2,19930,5679949,113599,36920
2024-01-21,Sheikh Zayed,Premium,Urban,Villa,397,3,3,2,1,0,0,0,0,0,Fully Finished,Partly Furnished,2,31.7,37517,15192071,303841,83556
2024-12-27,6th of October,Standard,Urban,Villa,367,6,6,1,0,0,0,1,0,0,Semi Finished,Fully Furnished,7,27.0,22024,8244358,164887,45344
2025-10-27,Ain Sokhna,Premium,Coastal,Villa,110,5,5,3,1,0,1,1,1,0,Core & Shell,Partly Furnished,6,127.0,120000,13464000,269280,74052
2026-01-14,Heliopolis,Premium,Urban,Penthouse,447,3,3,15,1,0,0,1,1,1,Fully Finished,Partly Furnished,12,15.2,43297,19353905,387078,106446
2024-08-01,North Coast,Premium,Coastal,Apartment,389,1,1,12,0,0,0,1,0,1,Semi Finished,Unfurnished,10,228.4,34722,13506935,270139,87795
2024-04-05,Sheikh Zayed,Premium,Urban,Penthouse,264,5,5,15,1,0,0,1,1,1,Luxury Finished,Unfurnished,6,29.8,26570,7014575,140292,38580
2026-01-15,6th of October,Standard,Urban,Apartment,210,1,1,4,1,0,0,1,0,1,Fully Finished,Unfurnished,1,39.3,19918,4182823,83656,27188
2024-04-04,Maadi,Premium,Urban,Duplex,419,4,4,8,0,0,0,0,1,1,Fully Finished,Unfurnished,2,14.6,37235,15601391,312028,101409
2024-02-02,Alexandria,Standard,Urban,Chalet,411,4,3,3,0,0,0,1,0,0,Semi Finished,Fully Furnished,0,210.4,24946,10252791,205056,56390
2025-03-23,Sheikh Zayed,Premium,Urban,Penthouse,181,3,4,15,1,0,0,1,1,1,Fully Finished,Unfurnished,5,30.1,41699,7547481,150950,41511
2025-10-04,6th of October,Standard,Urban,Penthouse,64,3,3,15,1,0,0,1,0,1,Luxury Finished,Fully Furnished,9,32.2,33277,2129697,42594,11713
2024-03-18,Haram,Standard,Urban,Penthouse,81,5,5,10,0,0,0,1,1,1,Fully Finished,Fully Furnished,0,8.1,39108,3167744,63355,17423
2025-12-24,Maadi,Premium,Urban,Apartment,192,1,1,7,1,0,0,1,1,1,Fully Finished,Unfurnished,3,11.8,30032,5766059,115321,37479
2026-01-09,Haram,Standard,Urban,Villa,492,7,6,2,0,0,0,1,1,0,Luxury Finished,Fully Furnished,1,8.9,41646,20899805,417996,114949
2024-02-05,Alexandria,Standard,Urban,Villa,308,6,5,2,0,1,0,0,0,0,Fully Finished,Partly Furnished,18,180.2,40687,12782201,255644,70302
2026-01-18,Maadi,Premium,Urban,Chalet,378,4,3,3,0,0,0,1,1,0,Semi Finished,Unfurnished,16,15.0,30077,11369267,227385,62531
2024-01-28,Haram,Standard,Urban,Duplex,316,2,2,7,0,0,0,1,1,1,Semi Finished,Fully Furnished,2,9.8,11863,3748688,74974,24366
2024-11-09,Nasr City,Standard,Urban,Villa,87,3,4,1,0,0,0,1,1,0,Fully Finished,Fully Furnished,26,11.2,43021,3817677,76354,20997
2025-08-29,North Coast,Premium,Coastal,Villa,424,4,4,2,1,0,1,0,0,0,Semi Finished,Unfurnished,3,196.5,97439,42140368,842807,231772
2025-10-24,North Coast,Premium,Coastal,Chalet,66,1,1,2,1,0,1,0,1,0,Luxury Finished,Unfurnished,12,221.5,114901,7583494,151670,41709
2024-12-14,Ain Sokhna,Premium,Coastal,Chalet,298,4,3,4,1,0,1,1,1,0,Fully Finished,Unfurnished,0,127.4,90386,26934900,538698,148142
2025-07-31,Sheikh Zayed,Premium,Urban,Villa,353,4,4,2,0,1,0,1,1,0,Core & Shell,Fully Furnished,19,33.0,50797,18289904,365798,100594
2025-09-21,6th of October,Standard,Urban,Apartment,178,2,2,5,1,0,0,1,0,0,Semi Finished,Unfurnished,13,37.1,16568,2949020,58980,19169
2026-01-13,Haram,Standard,Urban,Apartment,332,2,1,6,0,0,0,1,1,1,Semi Finished,Unfurnished,21,9.5,12291,4080614,81612,26524
2025-02-09,Haram,Standard,Urban,Duplex,84,2,2,8,0,0,0,1,1,1,Core & Shell,Fully Furnished,3,7.8,18344,1540888,30818,10016
2025-08-27,Nasr City,Standard,Urban,Apartment,127,2,1,12,0,0,0,1,0,1,Fully Finished,Fully Furnished,16,8.2,21205,2693045,53861,17505
2025-05-04,6th of October,Standard,Urban,Apartment,168,1,1,1,1,0,0,1,0,0,Semi Finished,Unfurnished,7,30.4,17795,2989544,59791,19432
2025-04-30,Maadi,Premium,Urban,Villa,170,4,4,3,0,0,0,0,1,0,Luxury Finished,Partly Furnished,15,12.5,67722,11743005,234860,64587
2025-12-28,North Coast,Premium,Coastal,Apartment,295,1,1,12,1,0,0,1,0,1,Fully Finished,Fully Furnished,12,200.3,39491,11649698,232994,75723
2025-08-25,Haram,Standard,Urban,Apartment,160,1,1,1,0,0,0,1,1,1,Semi Finished,Unfurnished,25,7.4,10473,1675666,33513,10892
2024-10-08,Sheikh Zayed,Premium,Urban,Chalet,499,4,3,1,0,0,0,1,0,0,Luxury Finished,Unfurnished,0,26.5,43368,21640668,432813,119024
2026-01-06,Maadi,Premium,Urban,Penthouse,436,4,4,15,0,0,0,1,1,1,Fully Finished,Unfurnished,7,15.3,34695,15127110,302542,83199
2026-02-22,Ain Sokhna,Premium,Coastal,Duplex,409,4,4,5,0,0,0,1,1,1,Fully Finished,Unfurnished,0,101.9,54126,22137542,442751,143894
2025-04-01,North Coast,Premium,Coastal,Apartment,306,1,1,11,1,0,0,1,0,1,Fully Finished,Fully Furnished,3,228.7,33983,10398698,207974,67592
2025-05-31,North Coast,Premium,Coastal,Penthouse,95,3,3,13,1,0,0,1,0,1,Luxury Finished,Unfurnished,5,217.0,83061,7890836,157817,43400
2024-07-27,Maadi,Premium,Urban,Villa,279,6,6,3,0,1,0,0,1,0,Fully Finished,Unfurnished,18,17.7,55307,15739328,314787,86566
2025-07-31,Maadi,Premium,Urban,Apartment,153,1,1,7,1,0,0,1,1,1,Fully Finished,Partly Furnished,21,14.6,20641,3158103,63162,20528
2024-03-24,6th of October,Standard,Urban,Apartment,253,2,1,9,1,0,0,0,1,1,Fully Finished,Fully Furnished,8,27.0,24119,6102146,122043,39664
2025-11-27,North Coast,Premium,Coastal,Villa,494,7,6,1,1,1,1,1,1,0,Semi Finished,Partly Furnished,8,226.5,87118,43897161,877943,241434
2026-01-30,Haram,Standard,Urban,Duplex,334,3,3,6,0,0,0,1,1,0,Luxury Finished,Unfurnished,8,8.8,13086,4370771,87415,28410
2025-05-26,Nasr City,Standard,Urban,Apartment,199,1,1,6,0,0,0,1,0,1,Luxury Finished,Fully Furnished,0,10.5,22718,4520799,90416,29385
2025-12-18,Haram,Standard,Urban,Penthouse,441,2,2,12,0,0,0,1,0,1,Luxury Finished,Unfurnished,18,7.1,15975,7045185,140904,38749
2024-08-28,6th of October,Standard,Urban,Apartment,449,1,1,1,1,0,0,1,1,1,Fully Finished,Unfurnished,1,30.1,17687,7941444,158829,51619
2025-08-19,North Coast,Premium,Coastal,Villa,320,7,6,3,0,0,0,1,0,0,Luxury Finished,Fully Furnished,9,198.0,99700,32542024,650840,178981
2025-09-12,Sheikh Zayed,Premium,Urban,Penthouse,227,5,5,12,1,0,0,0,1,1,Semi Finished,Unfurnished,13,29.7,39427,8950009,179000,49225
2025-11-02,New Cairo,Premium,Urban,Penthouse,388,4,3,13,0,0,0,1,0,1,Fully Finished,Partly Furnished,4,19.4,41567,16128073,322561,88704
2025-11-12,Maadi,Premium,Urban,Chalet,153,3,3,4,0,0,0,1,0,0,Luxury Finished,Unfurnished,7,13.7,49813,7621397,152428,41918
2024-07-31,New Cairo,Premium,Urban,Penthouse,377,5,4,11,1,0,0,0,1,1,Luxury Finished,Fully Furnished,9,28.6,65396,24654343,493087,135599
2025-07-27,Sheikh Zayed,Premium,Urban,Penthouse,435,3,3,15,1,0,0,1,0,1,Fully Finished,Fully Furnished,14,28.2,35374,15387784,307756,84633
2024-07-26,Alexandria,Standard,Urban,Villa,135,7,6,1,0,1,0,1,1,0,Luxury Finished,Unfurnished,4,205.5,40878,5628904,112578,30959
2024-05-19,6th of October,Standard,Urban,Apartment,355,1,1,6,0,0,0,1,1,1,Luxury Finished,Unfurnished,2,36.8,15630,5548802,110976,36067
2024-05-31,Maadi,Premium,Urban,Duplex,379,4,4,7,0,0,0,0,1,1,Luxury Finished,Unfurnished,9,15.7,41079,15569060,311381,101199
2025-02-18,Alexandria,Standard,Urban,Penthouse,329,2,2,14,0,0,1,1,0,1,Semi Finished,Fully Furnished,8,245.3,24839,8172056,163441,44946
2025-06-27,Heliopolis,Premium,Urban,Chalet,438,4,3,2,0,0,0,1,1,0,Semi Finished,Fully Furnished,12,11.7,34288,15018012,300360,82599
2025-10-27,Haram,Standard,Urban,Duplex,148,2,2,3,0,0,0,0,1,0,Semi Finished,Partly Furnished,11,8.1,19836,2935794,58716,19083
2025-06-15,Haram,Standard,Urban,Apartment,461,2,1,2,0,0,0,1,1,1,Fully Finished,Unfurnished,4,7.8,9458,4360103,87202,28341
2026-04-03,North Coast,Premium,Coastal,Chalet,184,4,3,1,0,0,1,1,1,0,Fully Finished,Fully Furnished,18,256.8,60995,11223167,224463,61727
2024-07-22,New Cairo,Premium,Urban,Apartment,212,1,1,4,1,0,0,1,1,1,Core & Shell,Fully Furnished,0,26.2,25701,5448623,108972,35416
2025-05-12,New Cairo,Premium,Urban,Villa,368,4,4,3,1,0,0,1,1,0,Semi Finished,Fully Furnished,0,23.4,52327,19641560,392831,108029
2025-09-05,North Coast,Premium,Coastal,Chalet,98,4,3,3,1,0,1,1,0,0,Fully Finished,Partly Furnished,5,208.7,84093,8241145,164823,45326
2024-12-26,Maadi,Premium,Urban,Chalet,450,4,3,2,1,0,0,1,1,0,Fully Finished,Unfurnished,13,14.2,44090,19840545,396811,109123
2025-11-09,New Cairo,Premium,Urban,Duplex,290,3,3,3,1,0,0,0,0,1,Fully Finished,Partly Furnished,3,26.7,25907,7512886,150258,48834
2024-12-11,Nasr City,Standard,Urban,Penthouse,97,4,4,12,0,0,0,1,1,1,Luxury Finished,Unfurnished,23,7.7,38823,3765875,75318,20712
2024-08-16,Heliopolis,Premium,Urban,Chalet,498,3,3,1,1,0,0,1,1,0,Semi Finished,Unfurnished,16,13.1,24411,12156626,243133,66861
2026-02-23,Nasr City,Standard,Urban,Villa,69,5,5,2,0,1,0,1,1,0,Luxury Finished,Partly Furnished,0,13.0,32612,2295234,45905,12624
2025-06-03,Haram,Standard,Urban,Apartment,177,1,1,11,0,0,0,1,1,0,Semi Finished,Fully Furnished,11,7.8,12802,2265903,45318,14728
2025-04-17,North Coast,Premium,Coastal,Duplex,243,5,4,4,1,0,0,1,1,1,Fully Finished,Unfurnished,13,256.1,37119,9019899,180398,58629
2024-01-07,North Coast,Premium,Coastal,Penthouse,216,3,4,13,1,0,0,1,0,1,Fully Finished,Unfurnished,0,186.8,63156,13641707,272834,75029
2025-07-09,Nasr City,Standard,Urban,Duplex,232,5,4,8,0,0,0,1,1,1,Semi Finished,Unfurnished,0,8.4,20789,4823013,96460,31350
2024-12-14,6th of October,Standard,Urban,Chalet,479,3,3,3,1,0,0,0,0,0,Luxury Finished,Unfurnished,8,34.6,29538,14148812,282976,77818
2024-05-10,Heliopolis,Premium,Urban,Duplex,70,3,2,6,1,0,0,1,0,0,Luxury Finished,Unfurnished,17,12.1,30926,2164797,43296,14071
2025-04-23,North Coast,Premium,Coastal,Villa,361,5,5,1,1,1,0,1,0,0,Fully Finished,Fully Furnished,8,207.2,102761,37838670,756773,208113
2024-08-19,Haram,Standard,Urban,Penthouse,163,5,4,14,0,0,0,1,0,1,Fully Finished,Unfurnished,5,8.2,18732,3053298,61066,16793
2024-09-14,Alexandria,Standard,Urban,Apartment,170,1,1,2,0,0,0,1,0,1,Fully Finished,Unfurnished,17,239.7,13510,2296660,45933,14928
2025-09-13,Nasr City,Standard,Urban,Duplex,192,4,3,3,0,0,0,1,0,1,Semi Finished,Unfurnished,11,9.6,18754,3600681,72014,23404
2024-08-20,Haram,Standard,Urban,Apartment,151,1,1,7,0,0,0,1,0,1,Semi Finished,Unfurnished,8,5.6,12543,1894058,37881,12311
2024-04-27,Alexandria,Standard,Urban,Chalet,88,1,1,2,0,0,1,0,0,0,Fully Finished,Fully Furnished,5,210.7,39314,3459620,69192,19028
2025-05-29,Alexandria,Standard,Urban,Chalet,466,3,2,3,0,0,1,1,0,0,Fully Finished,Fully Furnished,11,218.0,38499,17940723,358814,98674
2024-07-26,Heliopolis,Premium,Urban,Penthouse,405,3,3,14,0,0,0,1,0,1,Fully Finished,Partly Furnished,20,12.3,26921,10902886,218058,59966
2025-01-03,Nasr City,Standard,Urban,Apartment,60,2,2,10,0,0,0,1,0,1,Fully Finished,Unfurnished,2,12.8,23202,1392093,27842,9049
2025-11-10,Maadi,Premium,Urban,Chalet,483,4,3,1,0,0,0,0,0,0,Fully Finished,Partly Furnished,18,13.5,33787,16318912,326378,89754
2025-10-12,Alexandria,Standard,Urban,Penthouse,196,5,5,11,0,0,0,1,1,1,Fully Finished,Fully Furnished,0,179.1,18397,3605839,72117,19832
2024-11-21,Heliopolis,Premium,Urban,Villa,484,7,6,1,1,1,0,0,1,0,Luxury Finished,Fully Furnished,10,12.8,55809,27551956,551039,151536
2026-02-20,Nasr City,Standard,Urban,Apartment,149,1,1,1,0,0,0,1,1,1,Fully Finished,Unfurnished,10,8.9,18867,2811257,56225,18273
2024-05-15,Maadi,Premium,Urban,Villa,450,5,5,2,1,1,0,1,1,0,Semi Finished,Partly Furnished,10,13.2,33027,15159353,303187,83376
2024-03-22,Sheikh Zayed,Premium,Urban,Chalet,76,2,2,3,1,0,0,0,0,0,Luxury Finished,Unfurnished,4,30.0,39376,2992550,59851,16459
2024-02-23,6th of October,Standard,Urban,Apartment,239,1,2,1,0,0,0,1,0,1,Luxury Finished,Unfurnished,5,27.0,22362,5344469,106889,34739
2024-10-03,Heliopolis,Premium,Urban,Apartment,236,1,1,6,1,0,0,1,0,1,Luxury Finished,Fully Furnished,12,13.4,33435,7890568,157811,51289
2024-06-06,Maadi,Premium,Urban,Villa,215,6,6,1,1,0,0,0,1,0,Luxury Finished,Fully Furnished,3,13.1,58555,12841197,256824,70627
2025-02-26,Heliopolis,Premium,Urban,Apartment,396,2,1,1,0,0,0,1,1,1,Core & Shell,Unfurnished,22,13.1,17941,7104640,142093,46180
2024-01-23,Alexandria,Standard,Urban,Apartment,207,2,1,8,0,0,0,1,0,1,Fully Finished,Unfurnished,14,216.1,19356,4006682,80134,26043
2026-02-02,North Coast,Premium,Coastal,Apartment,386,1,1,10,1,0,0,0,1,1,Core & Shell,Unfurnished,0,253.4,39756,15345772,306915,99748
2024-05-01,Ain Sokhna,Premium,Coastal,Chalet,438,4,3,3,0,0,1,1,1,0,Fully Finished,Unfurnished,10,118.4,68697,30089339,601787,165491
2025-07-18,6th of October,Standard,Urban,Penthouse,364,5,5,15,1,0,0,1,1,1,Semi Finished,Partly Furnished,0,31.2,18110,6591893,131838,36255
2024-10-22,North Coast,Premium,Coastal,Chalet,77,4,3,1,1,0,0,1,0,0,Fully Finished,Unfurnished,11,238.2,96182,7406008,148120,40733
2026-03-20,6th of October,Standard,Urban,Villa,253,7,6,1,1,1,0,1,1,0,Luxury Finished,Unfurnished,2,36.3,36251,9354875,187098,51452
2024-02-29,New Cairo,Premium,Urban,Villa,281,5,4,1,1,1,0,1,1,0,Luxury Finished,Fully Furnished,5,28.2,82690,23700516,474010,130353
2025-08-09,6th of October,Standard,Urban,Duplex,444,2,2,5,0,0,0,1,1,1,Semi Finished,Partly Furnished,8,35.3,20603,9147878,182958,59461
2025-06-07,Ain Sokhna,Premium,Coastal,Chalet,347,4,3,1,1,0,1,1,1,0,Luxury Finished,Partly Furnished,17,134.4,86819,30126104,602522,165694
2025-02-03,Haram,Standard,Urban,Chalet,425,4,3,4,0,0,0,1,0,0,Fully Finished,Unfurnished,15,6.6,24075,10231719,204634,56274
2026-02-16,Ain Sokhna,Premium,Coastal,Duplex,347,4,3,1,0,0,0,1,1,1,Core & Shell,Partly Furnished,11,107.7,41756,14489329,289787,94181
2025-08-12,North Coast,Premium,Coastal,Apartment,372,1,1,10,0,0,0,1,0,1,Luxury Finished,Unfurnished,0,245.5,34696,12906757,258135,83894
2024-11-01,6th of October,Standard,Urban,Chalet,314,3,3,2,1,0,0,1,0,0,Fully Finished,Partly Furnished,14,32.0,18063,5671738,113435,31195
2025-07-13,North Coast,Premium,Coastal,Apartment,298,1,1,6,0,0,0,1,0,1,Core & Shell,Unfurnished,0,245.4,28399,8463047,169261,55010
2025-02-04,6th of October,Standard,Urban,Chalet,156,1,1,4,1,0,0,0,1,0,Fully Finished,Partly Furnished,0,38.4,29792,4647563,92951,25562
2024-04-22,North Coast,Premium,Coastal,Villa,350,4,4,2,1,0,1,0,1,0,Fully Finished,Partly Furnished,6,234.5,100274,35797979,715960,196889
2025-12-22,North Coast,Premium,Coastal,Chalet,459,4,3,1,0,0,1,1,0,0,Fully Finished,Fully Furnished,9,215.4,107868,49511476,990230,272313
2024-01-24,Maadi,Premium,Urban,Penthouse,457,4,4,13,0,0,0,0,1,1,Luxury Finished,Partly Furnished,16,15.5,38632,17654825,353096,97102
2025-11-07,Ain Sokhna,Premium,Coastal,Villa,66,6,6,3,1,1,1,1,1,0,Semi Finished,Partly Furnished,4,127.0,120000,8078400,161568,44431
2024-02-17,Ain Sokhna,Premium,Coastal,Apartment,210,1,1,9,0,0,0,0,1,1,Fully Finished,Unfurnished,8,106.8,58819,12352095,247042,80289
2025-04-13,6th of October,Standard,Urban,Duplex,344,4,4,6,1,0,0,0,1,1,Fully Finished,Unfurnished,6,33.8,20155,6933324,138666,45067
2024-02-03,New Cairo,Premium,Urban,Penthouse,463,2,2,10,1,0,0,0,1,1,Luxury Finished,Unfurnished,0,20.6,36720,17001299,340026,93507
2026-04-05,Sheikh Zayed,Premium,Urban,Chalet,178,3,3,1,0,0,0,0,0,0,Core & Shell,Fully Furnished,15,27.6,31744,5650514,113010,31078
2025-10-22,Heliopolis,Premium,Urban,Apartment,285,1,1,2,0,0,0,1,1,0,Fully Finished,Unfurnished,15,12.9,23757,6770807,135416,44010
2026-01-27,6th of October,Standard,Urban,Duplex,401,3,2,4,0,0,0,1,1,0,Luxury Finished,Partly Furnished,9,40.8,24830,9956813,199136,64719
2025-05-23,Haram,Standard,Urban,Chalet,274,4,3,3,0,0,0,1,0,0,Luxury Finished,Fully Furnished,11,8.9,22618,6197370,123947,34086
2025-06-21,New Cairo,Premium,Urban,Villa,174,7,6,2,1,0,0,1,0,0,Fully Finished,Unfurnished,15,27.4,60860,10801495,216030,59408
2025-09-21,Alexandria,Standard,Urban,Villa,296,4,4,3,0,0,1,1,0,0,Fully Finished,Fully Furnished,24,211.2,38443,11606607,232132,63836
2024-05-07,Ain Sokhna,Premium,Coastal,Apartment,305,1,1,12,0,0,0,1,1,1,Fully Finished,Unfurnished,15,130.4,38093,11618220,232364,75518
2024-09-09,Sheikh Zayed,Premium,Urban,Penthouse,134,4,4,11,0,0,0,1,0,1,Fully Finished,Partly Furnished,8,37.4,44137,5914363,118287,32529
2025-04-05,Alexandria,Standard,Urban,Villa,76,6,6,2,0,1,1,1,0,0,Fully Finished,Fully Furnished,0,204.4,61519,4768955,95379,26229
2024-06-02,Ain Sokhna,Premium,Coastal,Penthouse,421,5,5,15,0,0,0,0,1,1,Fully Finished,Fully Furnished,4,102.5,79750,33574614,671492,184660
2025-11-14,Heliopolis,Premium,Urban,Chalet,372,2,2,1,1,0,0,0,1,0,Luxury Finished,Fully Furnished,9,13.9,41316,15369420,307388,84532
2025-02-07,Maadi,Premium,Urban,Chalet,227,3,3,1,0,0,0,1,0,0,Fully Finished,Fully Furnished,1,12.9,45034,10222717,204454,56225
2024-08-26,Alexandria,Standard,Urban,Penthouse,453,5,5,14,0,0,1,1,1,0,Core & Shell,Unfurnished,0,186.8,26882,12177519,243550,66976
2025-05-27,Haram,Standard,Urban,Penthouse,249,5,4,13,0,0,0,0,0,1,Fully Finished,Unfurnished,14,6.7,13982,3481503,69630,19148
2025-11-26,Sheikh Zayed,Premium,Urban,Duplex,369,4,4,2,1,0,0,1,0,1,Fully Finished,Unfurnished,14,33.8,23320,8605181,172104,55934
2024-02-21,6th of October,Standard,Urban,Villa,88,5,5,1,0,1,0,0,1,0,Fully Finished,Unfurnished,8,30.6,47386,4253398,85068,23394
2024-11-20,New Cairo,Premium,Urban,Chalet,354,4,3,1,1,0,0,0,1,0,Semi Finished,Unfurnished,10,27.2,24255,8586328,171727,47225
2024-02-17,Maadi,Premium,Urban,Penthouse,371,4,4,13,1,0,0,0,0,1,Fully Finished,Unfurnished,25,14.1,42057,15603076,312062,85817
2025-05-23,Nasr City,Standard,Urban,Chalet,286,3,3,4,0,0,0,1,1,0,Luxury Finished,Fully Furnished,20,12.2,24110,6895333,137907,37924
2024-05-22,New Cairo,Premium,Urban,Chalet,424,4,3,1,1,0,0,1,1,0,Semi Finished,Unfurnished,0,29.4,42939,18205989,364120,100133
2024-03-17,Sheikh Zayed,Premium,Urban,Apartment,213,1,1,8,1,0,0,1,1,1,Core & Shell,Unfurnished,0,33.1,26251,5591539,111831,36345
2024-10-02,Heliopolis,Premium,Urban,Apartment,260,2,2,8,0,0,0,1,0,1,Fully Finished,Fully Furnished,11,10.7,22852,5941451,118829,38619
2026-02-17,New Cairo,Premium,Urban,Apartment,276,2,2,10,1,0,0,1,1,1,Fully Finished,Fully Furnished,7,21.0,21220,5856774,117135,38069
2026-02-18,North Coast,Premium,Coastal,Villa,84,5,5,2,0,0,1,1,0,0,Fully Finished,Fully Furnished,7,242.5,120000,10281600,205632,56549
2025-03-01,6th of October,Standard,Urban,Chalet,288,4,3,4,1,0,0,0,1,0,Luxury Finished,Unfurnished,3,35.3,27879,8029209,160584,44161
2025-01-22,6th of October,Standard,Urban,Villa,71,4,4,2,1,1,0,1,0,0,Semi Finished,Fully Furnished,0,42.1,39706,2875521,57510,15815
2025-03-02,New Cairo,Premium,Urban,Penthouse,76,3,3,15,1,0,0,1,0,0,Luxury Finished,Partly Furnished,0,26.3,58157,4419956,88399,24310
2025-09-23,Alexandria,Standard,Urban,Apartment,362,3,3,10,0,0,0,0,1,1,Luxury Finished,Unfurnished,9,183.2,15116,5472119,109442,35569
2025-08-04,North Coast,Premium,Coastal,Chalet,323,2,1,3,1,0,1,1,1,0,Fully Finished,Partly Furnished,4,232.4,107985,34879102,697582,191835
2024-06-21,Heliopolis,Premium,Urban,Apartment,274,1,1,4,1,0,0,1,1,1,Fully Finished,Partly Furnished,15,13.3,19414,5319425,106388,34576
2024-02-21,Maadi,Premium,Urban,Apartment,148,2,2,3,1,0,0,1,1,1,Fully Finished,Fully Furnished,8,14.1,41242,6103763,122075,39674
2025-03-29,Haram,Standard,Urban,Apartment,424,1,1,5,0,0,0,1,1,0,Fully Finished,Unfurnished,30,7.6,11908,5048818,100976,32817
2025-07-25,Haram,Standard,Urban,Apartment,466,1,1,9,0,0,0,1,0,1,Fully Finished,Partly Furnished,7,7.8,7644,3562142,71243,23154
2024-08-23,Heliopolis,Premium,Urban,Apartment,430,1,1,1,1,0,0,1,1,1,Fully Finished,Unfurnished,14,13.3,25759,11076529,221531,71997
2024-01-24,North Coast,Premium,Coastal,Villa,374,6,5,3,1,1,0,1,1,0,Fully Finished,Partly Furnished,7,171.1,75620,28847673,576953,158662
2026-04-12,Sheikh Zayed,Premium,Urban,Duplex,482,3,4,5,1,0,0,1,0,1,Fully Finished,Partly Furnished,4,32.6,25274,12182045,243641,79183
2025-12-08,Haram,Standard,Urban,Apartment,73,1,1,2,0,0,0,0,1,1,Fully Finished,Unfurnished,13,8.9,15834,1155912,23118,7513
2024-04-21,North Coast,Premium,Coastal,Chalet,167,1,1,4,1,0,1,0,0,0,Fully Finished,Unfurnished,3,200.7,115441,19278571,385571,106032
2025-03-01,6th of October,Standard,Urban,Penthouse,230,4,5,10,1,0,0,0,1,1,Fully Finished,Partly Furnished,10,34.9,30764,7075809,141516,38917
2024-10-15,Haram,Standard,Urban,Duplex,98,3,2,2,0,0,0,0,1,1,Fully Finished,Fully Furnished,10,7.7,14842,1454476,29090,9454
2024-01-31,Nasr City,Standard,Urban,Penthouse,468,3,3,14,0,0,0,1,1,1,Fully Finished,Partly Furnished,17,9.0,7500,3510000,70200,19305
2024-05-28,Sheikh Zayed,Premium,Urban,Apartment,75,1,1,10,0,0,0,1,1,1,Semi Finished,Unfurnished,0,32.6,37098,2782356,55647,18085
2026-04-03,Sheikh Zayed,Premium,Urban,Chalet,229,3,2,1,0,0,0,1,1,0,Fully Finished,Unfurnished,0,28.2,50817,11637074,232741,64004
2024-12-25,Ain Sokhna,Premium,Coastal,Penthouse,200,2,2,11,1,0,0,1,1,1,Semi Finished,Unfurnished,2,120.8,61947,12389405,247788,68142
2025-01-02,6th of October,Standard,Urban,Chalet,98,2,2,3,1,0,0,1,1,0,Semi Finished,Unfurnished,0,28.4,36530,3579975,71600,19690
2024-03-08,Nasr City,Standard,Urban,Penthouse,377,5,5,14,0,0,0,1,1,1,Semi Finished,Partly Furnished,0,8.7,20831,7853315,157066,43193
2024-07-19,Alexandria,Standard,Urban,Duplex,298,2,3,4,0,0,0,1,1,1,Semi Finished,Unfurnished,6,215.6,16651,4962061,99241,32253
2025-04-15,Haram,Standard,Urban,Apartment,418,1,1,6,0,0,0,1,1,1,Core & Shell,Partly Furnished,0,7.3,7500,3135000,62700,20378
2026-02-27,New Cairo,Premium,Urban,Apartment,62,1,1,4,1,0,0,1,1,0,Fully Finished,Unfurnished,6,24.1,27931,1731700,34634,11256
2024-11-11,North Coast,Premium,Coastal,Villa,383,5,6,2,0,1,0,1,0,0,Fully Finished,Unfurnished,3,220.7,78716,30751381,615028,169133
2025-03-31,Heliopolis,Premium,Urban,Apartment,491,1,1,3,1,0,0,1,0,1,Luxury Finished,Unfurnished,5,10.6,21870,10738112,214762,69798
2024-04-08,Alexandria,Standard,Urban,Apartment,436,1,1,3,0,0,0,1,1,1,Luxury Finished,Unfurnished,13,203.6,12552,5472594,109452,35572
